tweetid,timestamp,printname,screenname,verified,body,quotescreenname,quotetext,likes,retweets
1110591219804049408,10:15 AM - 26 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"Like many other women + working people, I occasionally suffer from impostor syndrome: those small moments, especially on hard days, where you wonder if the haters are right.

But then they do things like this to clear it right up.

If this guy can be Senator, you can do anything. https://twitter.com/_waleedshahid/status/1110580141493755904 …",_waleedshahid,"""The solution to climate change is not this unserious resolution...the solution to so many of our problems at all times and in all places is to fall in love, get married, and have some kids."" -@SenMikeLee on @AOC and @SenMarkey's Green New Deal…",161083,38021
1105980449652949002,,Alexandria Ocasio-Cortez,AOC,False,"Cost of the GOP Tax Scam for the rich:~$1.8-2.3 Trillion

Cost of forgiving all student loans in America:~$1.5 Trillion

Clearly where there’s a will, there’s a way.

When people say that there isn’t “enough” to do these things, what they mean is they don’t *want* to do them. https://twitter.com/samswey/status/1105694640735428610 …",samswey,"Cancelling student loan debt would benefit 25,000,000 American Millennials by an average of $30,000 each. It’s wild that candidates have not publicly supported this policy to date.",75381,22430
1112540296359956481,7:20 PM - 31 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"We are blowing through our FEC goal tonight - $50,000 - in just a few hours.

All of it goes straight to cands who stood strong for working people, climate, gun safety, immigrant youth &more.

Thank YOU all for proving that a different politics is possible. https://secure.actblue.com/donate/bolddemocrats?refcode=tw_20190331 …",,,21194,3559
859932024659771393,5:45 PM - 3 May 2017,Alice Wong,SFdirewolf,True,"As a disabled person, #Medicaid is so much more than just healthcare. My story:  https://mobile.nytimes.com/2017/05/03/opinion/my-medicaid-my-life.html?ref=opinion&_r=1&referer=https://t.co/Xl39zNZVvC … #AHCA #ACA #CripTheVote",,,3197,1740
1105124062588821504,8:11 AM - 11 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"I’m a believer in privacy - which means I reject unlimited, unchecked, warrantless surveillance.

Tracking consent should be given freely (aka not holding a service hostage for it) - whether it’s a gov or a corp.

Warrants, & their requirements, are supposed to mean something. https://twitter.com/BuzzFeedBen/status/1105111246439923712 …",BuzzFeedBen,These Documents Reveal The Government’s Detailed Plan For Using Facial Recognition On All International Passengers In Top 20 US Airports  https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for … via @daveyalba,20825,4401
1110914688097746944,7:41 AM - 27 Mar 2019,Jamil Smith,JamilSmith,True,"This is not merely the latest @AOC Viral Clip, nor would I think she'd want it to be. It is a clarion call. The Midwest is flooding right now, as is Mozambique. Climate change is ending American lives right now, and many more all around the world. Wake up. pic.twitter.com/gW1n22Rgph",,,50499,12904
1105966706596421633,,Alexandria Ocasio-Cortez,AOC,False,"Members of Congress often vote to cut or keep their allowances low.

It’s a superficial gesture, bc keeping Congressional pay low is what creates the desperation + impetus for good, experienced staff to flee to lobbyist jobs.

Raising staffer pay helps get money out of politics. https://twitter.com/MichaelBKelley/status/1105843738566369280 …",MichaelBKelley,Some perspective on entry-level minimum pay raise for @AOC’s office: About 34% higher than the median for House staff assistants  https://finance.yahoo.com/news/aoc-staff-pay-143357393.html … by @aarthiswami and @DFosterGraphics  pic.twitter.com/cY0Dxs3yBT,27480,5183
1101573021020631041,,Alexandria Ocasio-Cortez,AOC,False,"Spending a few hours today doing calltime.

But instead of calling donors, I’m calling constituents to personally follow up on casework they’ve brought to our office, and give them progress updates myself.

Getting big money out of politics means your Reps can do more of this.",,,120305,17884
1111429235976003584,5:45 PM - 28 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"It’s almost as though there is a directed + concerted far-right propaganda machine with a whole cable news channel, and a dark-money internet operation propped up by the Mercers et al dedicated to maligning me & stoking nat’l division, reported on by @JaneMayerNYer or something https://twitter.com/BrettLoGiurato/status/1111283082190094336 …",BrettLoGiurato,"It's ... interesting ... that only 23% of Republicans haven't heard enough about @AOC to form an opinion, compared to a sizable 44% of Democrats  https://poll.qu.edu/national/release-detail?ReleaseID=2611 …  pic.twitter.com/ybf0YhykSa",36551,7780
1112481464933904384,,Alexandria Ocasio-Cortez,AOC,False,"Hey everyone!

Tonight is a VERY important FEC fundraising deadline. GOP is targeting swing Dems already, & their campaigns need early strength.

Today I’m going to ask that we chip in what we can  to support some bold swing-seat Dems - all at once: https://secure.actblue.com/donate/bolddemocrats?refcode=tw_20190331 …",,,10838,3014
1111076860643995650,6:25 PM - 27 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,"Ugh, yes! Just last week at home there was a notice posted in my building that the elevators were going to be out for days.

The obvious question: what‘s the plan for people who can’t use stairs?? Are they just expected to stay inside for days?

This is an infrastructure issue  https://twitter.com/rootedinrights/status/1106564625246638086 …",rootedinrights,"As @CityofSeattle faces a more uncertain climate future, it's important that our emergency response includes #disabled people. This is Seattle attorney @RadCon86's story about our recent snow emergency.  pic.twitter.com/2z7L6FcRgM",20874,4054
1111369332448206848,1:47 PM - 28 Mar 2019,Alexandria Ocasio-Cortez,AOC,True,BREAKING: We had labneh https://twitter.com/GregJKrieg/status/1111338790906486786 …,GregJKrieg,"WARREN and AOC had lunch today in Washington, two sources confirm",105130,7090
